
2025/03/11 (12:48:28) | ===> btop++ v.1.4.0
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2025/03/11 (12:48:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
